epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8328,1.41269,1.65723,1.10538,0.73472,0.60051,0.66977,0.41528,1.1894,0.97385,1.02441,0.000369313,0.000369313,0.000369313
2,130.936,1.28467,1.03703,1.049,0.7333,0.66295,0.73014,0.47354,1.14985,0.82745,1.00472,0.000715238,0.000715238,0.000715238
3,193.517,1.25737,0.93846,1.03713,0.77014,0.61215,0.73542,0.47391,1.12702,0.8263,0.99808,0.00103672,0.00103672,0.00103672
4,256.16,1.23095,0.8709,1.0266,0.80036,0.71235,0.78587,0.50855,1.11741,0.77015,0.99171,0.00100101,0.00100101,0.00100101
5,319.272,1.19943,0.82202,1.01715,0.76804,0.73639,0.78844,0.52325,1.08718,0.7459,0.98754,0.000964348,0.000964348,0.000964348
6,382.384,1.18516,0.79249,1.01037,0.80887,0.7554,0.82926,0.55377,1.07782,0.71027,0.97825,0.000927685,0.000927685,0.000927685
7,445.743,1.16559,0.76998,1.00342,0.81654,0.76161,0.81896,0.5559,1.07818,0.70919,0.98147,0.000891022,0.000891022,0.000891022
8,508.909,1.14359,0.74083,0.9958,0.81354,0.7823,0.83456,0.57069,1.05289,0.67152,0.97018,0.000854359,0.000854359,0.000854359
9,571.744,1.12969,0.72507,0.98978,0.828,0.78601,0.83601,0.5741,1.04407,0.66383,0.9691,0.000817696,0.000817696,0.000817696
10,635.151,1.11228,0.70833,0.98444,0.83241,0.79869,0.84898,0.58679,1.04476,0.64678,0.97232,0.000781033,0.000781033,0.000781033
11,698.62,1.10053,0.69273,0.9793,0.85291,0.78203,0.85238,0.58585,1.02323,0.6266,0.96243,0.00074437,0.00074437,0.00074437
12,761.939,1.08709,0.67384,0.97301,0.84389,0.81244,0.86646,0.60514,1.00997,0.61535,0.95252,0.000707707,0.000707707,0.000707707
13,825.633,1.07295,0.65926,0.96764,0.84791,0.78214,0.86391,0.61082,1.0021,0.60494,0.95032,0.000671044,0.000671044,0.000671044
14,889.134,1.06092,0.65366,0.96532,0.85665,0.81399,0.87336,0.6144,1.00932,0.60222,0.95333,0.000634381,0.000634381,0.000634381
15,952.42,1.05301,0.64324,0.96205,0.87057,0.82083,0.88483,0.63055,0.98613,0.58294,0.94189,0.000597718,0.000597718,0.000597718
16,1016.01,1.04618,0.63586,0.96095,0.8898,0.81419,0.88473,0.63185,0.98015,0.5812,0.9445,0.000561055,0.000561055,0.000561055
17,1079.54,1.03164,0.62129,0.95494,0.86343,0.81632,0.87979,0.6255,0.98246,0.58068,0.94398,0.000524392,0.000524392,0.000524392
18,1142.76,1.02688,0.61927,0.95083,0.88043,0.82094,0.89017,0.63449,0.96585,0.57487,0.93636,0.000487729,0.000487729,0.000487729
19,1206.09,1.01635,0.60607,0.94971,0.88608,0.83384,0.89248,0.64079,0.95646,0.5639,0.93506,0.000451066,0.000451066,0.000451066
20,1269.78,1.00503,0.5986,0.94486,0.86947,0.82942,0.89503,0.64658,0.95711,0.55741,0.93464,0.000414403,0.000414403,0.000414403
21,1333.51,0.97859,0.56558,0.94133,0.88893,0.84248,0.89942,0.6482,0.95383,0.55889,0.9319,0.00037774,0.00037774,0.00037774
22,1395.29,0.95757,0.55091,0.93621,0.88716,0.84894,0.90795,0.66135,0.94767,0.54619,0.93065,0.000341077,0.000341077,0.000341077
23,1456.75,0.94191,0.53579,0.9281,0.87901,0.84436,0.90525,0.66571,0.93705,0.54245,0.92991,0.000304414,0.000304414,0.000304414
24,1517.89,0.92773,0.52768,0.9263,0.90546,0.85088,0.91486,0.67293,0.92213,0.52849,0.92181,0.000267751,0.000267751,0.000267751
25,1579.32,0.92,0.51886,0.92204,0.89204,0.85965,0.9169,0.68115,0.9143,0.52365,0.9202,0.000231088,0.000231088,0.000231088
26,1640.61,0.90844,0.50965,0.91922,0.88716,0.85112,0.91531,0.68295,0.90837,0.52389,0.91772,0.000194425,0.000194425,0.000194425
27,1701.84,0.89778,0.50143,0.91525,0.89084,0.86662,0.91685,0.68193,0.90458,0.51946,0.91721,0.000157762,0.000157762,0.000157762
28,1762.96,0.88407,0.49485,0.90834,0.89092,0.86393,0.92072,0.68804,0.90075,0.51264,0.91638,0.000121099,0.000121099,0.000121099
29,1824.06,0.87332,0.48666,0.90628,0.89792,0.86596,0.92044,0.68799,0.89716,0.51269,0.91338,8.4436e-05,8.4436e-05,8.4436e-05
30,1885.03,0.86548,0.48061,0.90495,0.89177,0.87529,0.9226,0.69231,0.89414,0.50736,0.91294,4.7773e-05,4.7773e-05,4.7773e-05
