epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.729,1.30167,1.16889,1.08384,0.75784,0.66902,0.74916,0.49213,1.14595,0.82914,1.02739,0.000369313,0.000369313,0.000369313
2,203.207,1.20755,0.83218,1.03331,0.76375,0.67566,0.75545,0.48946,1.14064,0.73958,1.02162,0.000715238,0.000715238,0.000715238
3,304.776,1.18776,0.79309,1.02452,0.78344,0.73749,0.78834,0.51363,1.09288,0.71546,0.99916,0.00103672,0.00103672,0.00103672
4,406.612,1.16449,0.75547,1.01284,0.78126,0.74159,0.80045,0.53701,1.08572,0.67955,0.99744,0.00100101,0.00100101,0.00100101
5,508.783,1.12273,0.71208,0.9974,0.83851,0.7803,0.84517,0.57719,1.03276,0.65114,0.97654,0.000964348,0.000964348,0.000964348
6,610.828,1.10897,0.6876,0.98818,0.83495,0.81929,0.86539,0.58889,1.02443,0.63478,0.97008,0.000927685,0.000927685,0.000927685
7,713.018,1.08633,0.66776,0.97999,0.84435,0.80432,0.87172,0.60763,1.02121,0.62621,0.97246,0.000891022,0.000891022,0.000891022
8,814.919,1.06001,0.64555,0.97207,0.86684,0.82389,0.87859,0.61557,1.00656,0.61724,0.96467,0.000854359,0.000854359,0.000854359
9,916.817,1.0428,0.62645,0.96392,0.85803,0.81503,0.87921,0.61869,1.01609,0.6025,0.96784,0.000817696,0.000817696,0.000817696
10,1018.74,1.02329,0.6134,0.95858,0.87479,0.82462,0.88512,0.62899,0.98269,0.58477,0.95509,0.000781033,0.000781033,0.000781033
11,1120.69,1.00857,0.59685,0.95109,0.87786,0.8453,0.89927,0.64007,0.96494,0.56444,0.94604,0.00074437,0.00074437,0.00074437
12,1224.56,0.9908,0.58024,0.94476,0.8699,0.86204,0.90601,0.65391,0.95775,0.54925,0.94081,0.000707707,0.000707707,0.000707707
13,1328.85,0.97567,0.56425,0.93977,0.86991,0.85277,0.91039,0.66873,0.9403,0.53928,0.93696,0.000671044,0.000671044,0.000671044
14,1432.91,0.96005,0.55727,0.93531,0.8772,0.8559,0.91164,0.66607,0.9476,0.54653,0.94059,0.000634381,0.000634381,0.000634381
15,1537.15,0.94782,0.54643,0.93085,0.86802,0.87151,0.91851,0.67601,0.9258,0.52575,0.92948,0.000597718,0.000597718,0.000597718
16,1641.67,0.93621,0.53771,0.92851,0.87883,0.8572,0.91804,0.67916,0.92712,0.52947,0.93552,0.000561055,0.000561055,0.000561055
17,1746.08,0.91954,0.52331,0.92339,0.87548,0.87649,0.91909,0.68565,0.91501,0.51778,0.92944,0.000524392,0.000524392,0.000524392
18,1850.77,0.9068,0.5169,0.91688,0.89065,0.87155,0.92034,0.68566,0.90772,0.5145,0.92548,0.000487729,0.000487729,0.000487729
19,1955.26,0.89538,0.50676,0.9157,0.89619,0.88219,0.93164,0.6988,0.89548,0.50862,0.92276,0.000451066,0.000451066,0.000451066
20,2058.42,0.87884,0.49568,0.91026,0.87881,0.88587,0.92872,0.70182,0.89485,0.50024,0.92233,0.000414403,0.000414403,0.000414403
21,2160.27,0.84941,0.46585,0.90352,0.90716,0.87897,0.93039,0.69848,0.88792,0.50203,0.92016,0.00037774,0.00037774,0.00037774
22,2260.42,0.82783,0.45245,0.89884,0.91131,0.88854,0.93341,0.71191,0.86864,0.49002,0.91481,0.000341077,0.000341077,0.000341077
23,2360.54,0.80513,0.43718,0.89044,0.90024,0.8877,0.93122,0.71264,0.8639,0.48783,0.91436,0.000304414,0.000304414,0.000304414
24,2460.64,0.78736,0.42654,0.88748,0.9232,0.8884,0.93637,0.72564,0.85265,0.48381,0.91064,0.000267751,0.000267751,0.000267751
25,2560.92,0.77448,0.41802,0.88192,0.91546,0.89211,0.94053,0.73147,0.84243,0.47212,0.90684,0.000231088,0.000231088,0.000231088
26,2660.95,0.75758,0.40694,0.87836,0.90617,0.89858,0.94017,0.73273,0.83713,0.46645,0.90603,0.000194425,0.000194425,0.000194425
27,2761.15,0.74377,0.39735,0.87399,0.92075,0.89868,0.94271,0.73992,0.82629,0.46454,0.90342,0.000157762,0.000157762,0.000157762
28,2861.28,0.72617,0.38941,0.86705,0.92006,0.89292,0.94152,0.74167,0.81903,0.46297,0.90225,0.000121099,0.000121099,0.000121099
29,2961.38,0.71042,0.37944,0.86471,0.92915,0.89385,0.94423,0.74671,0.81546,0.46114,0.90244,8.4436e-05,8.4436e-05,8.4436e-05
30,3061.51,0.70068,0.37328,0.863,0.93244,0.89051,0.94402,0.74815,0.80867,0.45908,0.90028,4.7773e-05,4.7773e-05,4.7773e-05
